London,"Mon, 21 Mar 2022 05:13:34 GMT",35.73,clear sky,1028,85
Boston,"Mon, 21 Mar 2022 05:13:34 GMT",44.98,overcast clouds,1009,67
San Francisco,"Mon, 21 Mar 2022 05:13:34 GMT",50.92,clear sky,1023,76
